# Altium Pin Report File

Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
A1,GND,GND,,,,,,,,,,,
A2,LED_CAP,IO_L3N_T0_DQS_34,,,,,,,,,,,
A3,USB_NCS,IO_L2N_T0_34,,,,,,,,,,,
A4,USB_SPARE1,IO_L2P_T0_34,,,,,,,,,,,
A5,USB_D1,IO_L4N_T0_34,,,,,,,,,,,
A6,GND,GND,,,,,,,,,,,
A7,FPGA_TCK,TCK_0,,,,,,,,,,,
A8,FPGA_CCLK,CCLK_0,,,,,,,,,,,
A9,GND,GND,,,,,,,,,,,
A10,F_USB21,IO_L3N_T0_DQS_EMCCLK_14,,,,,,,,,,,
A11,GND,GND,,,,,,,,,,,
A12,F_USB29,IO_L4P_T0_D04_14,,,,,,,,,,,
A13,F_USB31,IO_L4N_T0_D05_14,,,,,,,,,,,
A14,GND,GND,,,,,,,,,,,
B1,FPGA_CWIO11,IO_L5N_T0_34,,,,,,,,,,,
B2,USB_NWE,IO_L5P_T0_34,,,,,,,,,,,
B3,USB_NRD,IO_L3P_T0_DQS_34,,,,,,,,,,,
B4,GND,GND,,,,,,,,,,,
B5,USB_D5,IO_L4P_T0_34,,,,,,,,,,,
B6,USB_D0,IO_0_34,,,,,,,,,,,
B7,GND,GND,,,,,,,,,,,
B8,,NC,,,,,,,,,,,
B9,GND,GND,,,,,,,,,,,
B10,F_USB22,IO_L3P_T0_DQS_PUDC_B_14,,,,,,,,,,,
B11,F_USB28,IO_L1P_T0_D00_MOSI_14,,,,,,,,,,,
B12,FPGA_CDOUT,IO_L1N_T0_D01_DIN_14,,,,,,,,,,,
B13,F_USB32,IO_L5P_T0_D06_14,,,,,,,,,,,
B14,F_USB0,IO_L5N_T0_D07_14,,,,,,,,,,,
C1,FPGA_CWIO5,IO_L11N_T1_SRCC_34,,,,,,,,,,,
C2,GND,GND,,,,,,,,,,,
C3,,IO_L1N_T0_34,,,,,,,,,,,
C4,,IO_L6N_T0_VREF_34,,,,,,,,,,,
C5,,IO_L6P_T0_34,,,,,,,,,,,
C6,GND,GND,,,,,,,,,,,
C7,GND,GND,,,,,,,,,,,
C8,GND,GND,,,,,,,,,,,
C9,GND,GND,,,,,,,,,,,
C10,F_USB23,IO_L2N_T0_D03_14,,,,,,,,,,,
C11,F_USB25,IO_L6P_T0_FCS_B_14,,,,,,,,,,,
C12,F_USB30,IO_L6N_T0_D08_VREF_14,,,,,,,,,,,
C13,GND,GND,,,,,,,,,,,
C14,F_USB2,IO_L11N_T1_SRCC_14,,,,,,,,,,,
D1,USB_CLK,IO_L11P_T1_SRCC_34,,,,,,,,,,,
D2,LED_TRIG,IO_L10N_T1_34,,,,,,,,,,,
D3,,IO_L1P_T0_34,,,,,,,,,,,
D4,,IO_L7N_T1_34,,,,,,,,,,,
D5,GND,GND,,,,,,,,,,,
D6,VCCINT,VCCINT,,,,,,,,,,,
D7,GND,GND,,,,,,,,,,,
D8,VCCINT,VCCINT,,,,,,,,,,,
D9,GND,GND,,,,,,,,,,,
D10,F_USB24,IO_L2P_T0_D02_14,,,,,,,,,,,
D11,GND,GND,,,,,,,,,,,
D12,,IO_L8P_T1_D11_14,,,,,,,,,,,
D13,F_USB3,IO_L8N_T1_D12_14,,,,,,,,,,,
D14,F_USB4,IO_L11P_T1_SRCC_14,,,,,,,,,,,
E1,GND,GND,,,,,,,,,,,
E2,FPGA_CWIO10,IO_L10P_T1_34,,,,,,,,,,,
E3,GND,GND,,,,,,,,,,,
E4,,IO_L7P_T1_34,,,,,,,,,,,
E5,VCCINT,VCCBRAM,,,,,,,,,,,
E6,GND,GND,,,,,,,,,,,
E7,VCCINT,VCCINT,,,,,,,,,,,
E8,GND,GND,,,,,,,,,,,
E9,VCCINT,VCCINT,,,,,,,,,,,
E10,GND,GND,,,,,,,,,,,
E11,F_USB26,IO_0_14,,,,,,,,,,,
E12,,IO_L7N_T1_D10_14,,,,,,,,,,,
E13,F_USB5,IO_L10N_T1_D15_14,,,,,,,,,,,
E14,GND,GND,,,,,,,,,,,
F1,FPGA_CWIO4,IO_L9N_T1_DQS_34,,,,,,,,,,,
F2,FPGA_CWIO9,IO_L8N_T1_34,,,,,,,,,,,
F3,FPGA_CWIO3,IO_L8P_T1_34,,,,,,,,,,,
F4,,IO_L12N_T1_MRCC_34,,,,,,,,,,,
F5,GND,GND,,,,,,,,,,,
F6,VCCINT,VCCINT,,,,,,,,,,,
F7,,NC,,,,,,,,,,,
F8,,NC,,,,,,,,,,,
F9,GND,GND,,,,,,,,,,,
F10,VCC1V8,VCCAUX,,,,,,,,,,,
F11,F_USB27,IO_L12N_T1_MRCC_14,,,,,,,,,,,
F12,,IO_L7P_T1_D09_14,,,,,,,,,,,
F13,F_USB6,IO_L10P_T1_D14_14,,,,,,,,,,,
